,hash,n,m,n_flips,method,runtime,cf,internal_time,avg_node_time,model_preparation_time,n_nodes,optimization_time,termination_condition
59,1501507,3,33,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.23992538452148438,1.0,0.049368858337402344,0.004936885833740234,0.15973997116088867,10,0.06354331970214844,optimality
60,8993935,3,33,9,PhISCS_I_,0.3523845672607422,1.0,0.18551898002624512,,,,,
61,8993935,3,33,9,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.26515984535217285,1.0,0.05733847618103027,0.005212588743730025,0.18326616287231445,11,0.06313872337341309,optimality
62,6422013,3,33,4,PhISCS_I_,0.2296764850616455,1.0,0.0673060417175293,,,,,
63,6422013,3,33,4,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.20523715019226074,1.0,0.02045130729675293,0.004090261459350586,0.15883398056030273,5,0.03760051727294922,optimality
64,699161,3,33,10,PhISCS_I_,0.6478979587554932,1.0,0.4600541591644287,,,,,
65,699161,3,33,10,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.25046849250793457,1.0,0.07006692886352539,0.004671128590901693,0.15769290924072266,15,0.07000875473022461,optimality
66,9659115,3,33,8,PhISCS_I_,0.3422434329986572,1.0,0.1793656349182129,,,,,
67,9659115,3,33,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2552359104156494,1.0,0.045267581939697266,0.00502973132663303,0.18062162399291992,9,0.05805253982543945,optimality
68,8696174,3,33,7,PhISCS_I_,0.36313700675964355,1.0,0.19970941543579102,,,,,
69,8696174,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.22546839714050293,1.0,0.042550086975097656,0.004727787441677517,0.15876412391662598,9,0.0519864559173584,optimality
70,7853254,3,33,6,PhISCS_I_,0.2572667598724365,1.0,0.0705265998840332,,,,,
71,7853254,3,33,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.21469616889953613,1.0,0.03283333778381348,0.004690476826259068,0.15574145317077637,7,0.0462949275970459,optimality
72,9329841,3,33,8,PhISCS_I_,0.5605583190917969,1.0,0.39678454399108887,,,,,
73,9329841,3,33,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2688150405883789,1.0,0.05813884735107422,0.004472219027005709,0.18108582496643066,13,0.06916999816894531,optimality
74,448428,3,33,6,PhISCS_I_,0.2913787364959717,1.0,0.13036322593688965,,,,,
75,448428,3,33,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.22354769706726074,1.0,0.039827823638916016,0.005689689091273716,0.15656185150146484,7,0.054331064224243164,optimality
76,6069618,3,33,7,PhISCS_I_,0.23488593101501465,1.0,0.06913256645202637,,,,,
77,6069618,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2480473518371582,1.0,0.03537750244140625,0.004422187805175781,0.18482661247253418,8,0.04855751991271973,optimality
78,43141,3,33,6,PhISCS_I_,0.330197811126709,1.0,0.16662383079528809,,,,,
79,43141,3,33,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.22921156883239746,1.0,0.03936910629272461,0.004921138286590576,0.16118836402893066,8,0.05339169502258301,optimality
80,243457,3,33,4,PhISCS_I_,0.25119996070861816,1.0,0.06353616714477539,,,,,
81,243457,3,33,4,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.21690869331359863,1.0,0.017946958541870117,0.0035893917083740234,0.1673741340637207,5,0.03992891311645508,optimality
82,8830385,3,33,4,PhISCS_I_,0.22688627243041992,1.0,0.0671238899230957,,,,,
83,8830385,3,33,4,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.24411439895629883,1.0,0.0229489803314209,0.00458979606628418,0.19340968132019043,5,0.04210257530212402,optimality
84,3294660,3,33,9,PhISCS_I_,0.6358780860900879,1.0,0.4702444076538086,,,,,
85,3294660,3,33,9,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.35393571853637695,1.0,0.1711597442626953,0.0043887113913511615,0.15888738632202148,39,0.14316987991333008,optimality
86,3683039,3,33,6,PhISCS_I_,0.2532172203063965,1.0,0.06897091865539551,,,,,
87,3683039,3,33,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2163865566253662,1.0,0.03176140785217285,0.004537343978881836,0.15851688385009766,7,0.04513812065124512,optimality
88,7779363,3,33,4,PhISCS_I_,0.23162293434143066,1.0,0.0671682357788086,,,,,
