,hash,n,m,n_flips,method,runtime,avg_node_time,cf,internal_time,model_preparation_time,n_nodes,optimization_time,termination_condition
69,7581326,100,100,1,BnB_SubsampleLPBounding_None_True_-1,102.52464866638184,1.464887298643589,1.0,2.929774597287178,74.86977243423462,2,27.607174158096313,optimality
70,7581326,100,100,1,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,80.97473549842834,1.7062686011195183,1.0,3.4125372022390366,50.1490273475647,2,30.778549671173096,optimality
71,7581326,100,100,1,BnB_DynamicMWMBounding_None_False,0.831057071685791,0.07576477527618408,1.0,0.15152955055236816,,2,,optimality
72,498798,100,100,3,BnB_SubsampleLPBounding_0.1_True_-1,47.885480880737305,0.08538901143603855,1.0,0.7685011029243469,45.875710010528564,9,1.8699426651000977,optimality
73,498798,100,100,3,BnB_SubsampleLPBounding_0.25_True_-1,39.22824048995972,0.36621356507142383,1.0,3.2959220856428146,31.622493267059326,9,7.471656799316406,optimality
74,498798,100,100,3,BnB_SubsampleLPBounding_0.3_True_-1,60.91553354263306,0.49546766839921474,1.0,1.981870673596859,53.27800965309143,4,7.522284984588623,optimality
75,498798,100,100,3,BnB_SubsampleLPBounding_0.4_True_-1,51.21960949897766,0.6670655697584152,1.0,3.335327848792076,40.06568765640259,5,11.047626733779907,optimality
76,498798,100,100,3,BnB_SubsampleLPBounding_0.6_True_-1,84.00435853004456,1.418518029153347,1.0,5.674072116613388,64.36699867248535,4,19.52827262878418,optimality
77,498798,100,100,3,BnB_SubsampleLPBounding_None_True_-1,99.764963388443,1.5245032776147127,1.0,6.098013110458851,71.40339469909668,4,28.25470995903015,optimality
78,498798,100,100,3,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,77.45390152931213,1.454582218080759,1.0,5.818328872323036,49.59353995323181,4,27.75455594062805,optimality
79,498798,100,100,3,BnB_DynamicMWMBounding_None_False,1.557157039642334,0.20586928725242615,1.0,0.8234771490097046,,4,,optimality
