,hash,n,m,n_flips,method,runtime,cf,internal_time,avg_node_time,model_preparation_time,n_nodes,optimization_time,termination_condition
53,9368741,12,8,15,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.08588981628417969,1.0,0.04503512382507324,0.0028146952390670776,0.03834962844848633,16,0.016469240188598633,optimality
54,3765550,12,8,21,PhISCS_I_,0.09599423408508301,1.0,0.057093143463134766,,,,,
55,3765550,12,8,21,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.36212992668151855,1.0,0.32132744789123535,0.002127996343650565,0.05650806427001953,151,0.12167954444885254,optimality
56,9703004,12,8,26,PhISCS_I_,0.10636162757873535,1.0,0.06698250770568848,,,,,
57,9703004,12,8,26,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.24147844314575195,1.0,0.19593048095703125,0.0028395721877830615,0.05661725997924805,69,0.07224678993225098,optimality
58,1196055,12,8,22,PhISCS_I_,0.13553214073181152,1.0,0.06115460395812988,,,,,
59,1196055,12,8,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1.0353949069976807,1.0,0.9945170879364014,0.0021433557929663822,0.11008715629577637,464,0.37896227836608887,optimality
60,6035746,12,8,26,PhISCS_I_,0.10201764106750488,1.0,0.06268119812011719,,,,,
61,6035746,12,8,26,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.1430048942565918,1.0,0.10034894943237305,0.0032370628849152597,0.04479098320007324,31,0.04142427444458008,optimality
62,7147941,12,8,25,PhISCS_I_,0.11319518089294434,1.0,0.07164645195007324,,,,,
63,7147941,12,8,25,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.3593580722808838,1.0,0.3178672790527344,0.002162362442535608,0.05360889434814453,147,0.13962507247924805,optimality
64,458402,12,8,20,PhISCS_I_,0.05320906639099121,1.0,0.014473676681518555,,,,,
65,458402,12,8,20,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10388040542602539,1.0,0.06195521354675293,0.002950248264131092,0.04149198532104492,21,0.0215151309967041,optimality
66,7010366,12,8,25,PhISCS_I_,0.09863638877868652,1.0,0.0599360466003418,,,,,
67,7010366,12,8,25,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1.0135364532470703,1.0,0.9728860855102539,0.0023330601570989303,0.12468814849853516,417,0.35290956497192383,optimality
68,9928854,12,8,22,PhISCS_I_,0.054189443588256836,1.0,0.014691591262817383,,,,,
69,9928854,12,8,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.11245608329772949,1.0,0.06890654563903809,0.0029959367669146995,0.04318046569824219,23,0.023134231567382812,optimality
70,586802,12,8,25,PhISCS_I_,0.0859825611114502,1.0,0.04671931266784668,,,,,
71,586802,12,8,25,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.12883257865905762,1.0,0.0799703598022461,0.0026656786600748696,0.0501554012298584,30,0.022776126861572266,optimality
72,2686204,12,8,22,PhISCS_I_,0.0728147029876709,1.0,0.03346371650695801,,,,,
73,2686204,12,8,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.11959362030029297,1.0,0.0788424015045166,0.003285100062688192,0.04178142547607422,24,0.029276132583618164,optimality
74,3159351,12,8,30,PhISCS_I_,0.2183396816253662,1.0,0.14914512634277344,,,,,
75,3159351,12,8,30,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,60.04762291908264,1.0,60.00579023361206,0.002033749880820609,4.900605916976929,29505,24.365110397338867,time_limit
76,224323,12,8,30,PhISCS_I_,0.1342928409576416,1.0,0.0919651985168457,,,,,
77,224323,12,8,30,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,4.397851943969727,1.0,4.352959632873535,0.002106950451536077,0.3092386722564697,2066,1.9296886920928955,optimality
78,1305842,12,8,27,PhISCS_I_,0.1242372989654541,1.0,0.08304738998413086,,,,,
79,1305842,12,8,27,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,6.038748502731323,1.0,5.995723724365234,0.00202626688893722,0.44374680519104004,2959,2.474257230758667,optimality
80,6454275,12,8,21,PhISCS_I_,0.05579829216003418,1.0,0.014791011810302734,,,,,
81,6454275,12,8,21,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.1073141098022461,1.0,0.06354737281799316,0.0028885169462724166,0.043489933013916016,22,0.018900394439697266,optimality
82,5756061,12,8,20,PhISCS_I_,0.09239506721496582,1.0,0.05238509178161621,,,,,
83,5756061,12,8,19,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10861039161682129,1.0,0.06727075576782227,0.0032033693222772506,0.0409388542175293,21,0.026711702346801758,optimality
84,8873550,12,8,25,PhISCS_I_,0.09053635597229004,1.0,0.05047917366027832,,,,,
85,8873550,12,8,25,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.5560309886932373,1.0,0.5142190456390381,0.002545638839797218,0.08753633499145508,202,0.1571645736694336,optimality
86,8760445,12,8,21,PhISCS_I_,0.07936692237854004,1.0,0.03942060470581055,,,,,
87,8760445,12,8,21,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.18705010414123535,1.0,0.1455373764038086,0.002853674047133502,0.048449039459228516,51,0.0445408821105957,optimality
88,860746,12,8,25,PhISCS_I_,0.14642906188964844,1.0,0.1067357063293457,,,,,
