,hash,n,m,nf,method,runtime,cf,internalTime,avgNodeTime,modelPreperationTime,nNodes,optimizationTime,terminationCond
89,5629707,5,20,26,BnB_DynamicMWMBounding_None_False,60.00731420516968,1.0,60.00118446350098,0.015613110711293515,,3843,,time_limit
90,5365416,5,20,22,PhISCS_I_,0.46875810623168945,1.0,0.3387293815612793,,,,,
91,5365416,5,20,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,7.189350605010986,1.0,7.070418357849121,0.02216432087100038,0.1925961971282959,319,6.642732381820679,optimality
92,5365416,5,20,24,BnB_DynamicMWMBounding_None_False,60.01207756996155,1.0,60.00501298904419,0.015315215158000049,,3918,,time_limit
93,1809695,5,20,17,PhISCS_I_,0.3657083511352539,1.0,0.2681155204772949,,,,,
94,1809695,5,20,17,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,1.5890429019927979,1.0,1.4385294914245605,0.035086085156696596,0.14695262908935547,41,1.3673310279846191,optimality
95,1809695,5,20,17,BnB_DynamicMWMBounding_None_False,15.858210802078247,1.0,15.852437734603882,0.010415530706047229,,1522,,optimality
96,2151648,5,20,19,PhISCS_I_,0.34357309341430664,1.0,0.24397945404052734,,,,,
97,2151648,5,20,19,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,1.2781898975372314,1.0,1.165123462677002,0.025328770927760914,0.10553693771362305,46,1.1117122173309326,optimality
98,2151648,5,20,19,BnB_DynamicMWMBounding_None_False,60.03162431716919,1.0,60.0261504650116,0.013166516881994208,,4559,,time_limit
99,2187860,5,20,13,PhISCS_I_,0.15466570854187012,1.0,0.05361604690551758,,,,,
100,2187860,5,20,13,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.6241016387939453,1.0,0.4801011085510254,0.03429293632507324,0.12641596794128418,14,0.47063660621643066,optimality
101,2187860,5,20,13,BnB_DynamicMWMBounding_None_False,1.6547911167144775,1.0,1.6493113040924072,0.010308195650577546,,160,,optimality
102,5850967,5,20,21,PhISCS_I_,0.34642910957336426,1.0,0.24889683723449707,,,,,
103,5850967,5,20,20,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,1.064915418624878,1.0,0.949737548828125,0.029679298400878906,0.10257720947265625,32,0.9123108386993408,optimality
104,5850967,5,20,20,BnB_DynamicMWMBounding_None_False,53.717087745666504,1.0,53.71059608459473,0.01332438503711107,,4031,,optimality
105,1552277,5,20,22,PhISCS_I_,0.40972208976745605,1.0,0.3084416389465332,,,,,
106,1552277,5,20,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,2.9086520671844482,1.0,2.7950408458709717,0.024095179705784238,0.12377500534057617,116,2.6506054401397705,optimality
107,1552277,5,20,22,BnB_DynamicMWMBounding_None_False,60.02109432220459,1.0,60.01392388343811,0.014570022792774487,,4119,,time_limit
108,2538749,5,20,14,PhISCS_I_,0.14532852172851562,1.0,0.04667973518371582,,,,,
109,2538749,5,20,14,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.6520018577575684,1.0,0.5344338417053223,0.035628922780354816,0.09821653366088867,15,0.5248668193817139,optimality
110,2538749,5,20,14,BnB_DynamicMWMBounding_None_False,9.389465093612671,1.0,9.384193420410156,0.009556205112433968,,982,,optimality
111,7759694,5,20,22,PhISCS_I_,0.5210220813751221,1.0,0.4187133312225342,,,,,
112,7759694,5,20,21,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,5.987040996551514,1.0,5.874793767929077,0.024788159358350537,0.1626906394958496,237,5.5433030128479,optimality
113,7759694,5,20,21,BnB_DynamicMWMBounding_None_False,60.019887924194336,1.0,60.01378393173218,0.013186944392821837,,4551,,time_limit
114,9138534,5,20,14,PhISCS_I_,0.342775821685791,1.0,0.24328017234802246,,,,,
115,9138534,5,20,14,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.740220308303833,1.0,0.6257209777832031,0.03293268304122122,0.09815478324890137,19,0.6110954284667969,optimality
