hash,n,m,k,t,n_flips,runtime,file_name,internal_time,num_ones_noisy,num_zeros_noisy,Experiment_File  Name
8025446,40,80,None,120,38,40.198091745,simNo_4-s_10-m_80-n_40-k_58.SC.noisy,26.760607004,528,2672,"cmp_algs_None,None,1_11-14-20-44-39.csv"
3641274,80,80,None,120,38,47.604918003,simNo_4-s_10-m_80-n_80-k_53.SC.noisy,20.926686287,1009,5391,"cmp_algs_None,None,1_11-14-20-44-39.csv"
8929815,20,20,None,120,3,0.546280384,simNo_5-s_10-m_20-n_20-k_10.SC.noisy,0.128429413,41,359,"cmp_algs_None,None,1_11-14-20-44-39.csv"
6578844,20,20,None,120,0,0.542858124,simNo_5-s_10-m_20-n_20-k_2.SC.noisy,0.127183676,49,351,"cmp_algs_None,None,1_11-14-20-44-39.csv"
5087854,20,20,None,120,1,0.547203541,simNo_5-s_10-m_20-n_20-k_5.SC.noisy,0.127344847,46,354,"cmp_algs_None,None,1_11-14-20-44-39.csv"
8575992,40,20,None,120,5,1.097299576,simNo_5-s_10-m_20-n_40-k_18.SC.noisy,0.263347626,76,724,"cmp_algs_None,None,1_11-14-20-44-39.csv"
6632385,40,20,None,120,2,1.093355894,simNo_5-s_10-m_20-n_40-k_4.SC.noisy,0.265762806,90,710,"cmp_algs_None,None,1_11-14-20-44-39.csv"
140834,40,20,None,120,2,1.117846012,simNo_5-s_10-m_20-n_40-k_9.SC.noisy,0.264935493,85,715,"cmp_algs_None,None,1_11-14-20-44-39.csv"
467483,80,20,None,120,6,2.227384090,simNo_5-s_10-m_20-n_80-k_19.SC.noisy,0.533629179,178,1422,"cmp_algs_None,None,1_11-14-20-44-39.csv"
8327910,80,20,None,120,14,2.255617857,simNo_5-s_10-m_20-n_80-k_39.SC.noisy,0.532227755,158,1442,"cmp_algs_None,None,1_11-14-20-44-39.csv"
5212735,80,20,None,120,4,2.250572443,simNo_5-s_10-m_20-n_80-k_9.SC.noisy,0.539847612,188,1412,"cmp_algs_None,None,1_11-14-20-44-39.csv"
2166304,20,40,None,120,11,2.286357403,simNo_5-s_10-m_40-n_20-k_14.SC.noisy,0.562451839,268,532,"cmp_algs_None,None,1_11-14-20-44-39.csv"
9736342,20,40,None,120,21,2.270848513,simNo_5-s_10-m_40-n_20-k_28.SC.noisy,0.551631927,254,546,"cmp_algs_None,None,1_11-14-20-44-39.csv"
7018151,20,40,None,120,42,2.283983469,simNo_5-s_10-m_40-n_20-k_56.SC.noisy,0.566632986,226,574,"cmp_algs_None,None,1_11-14-20-44-39.csv"
