,hash,n,m,nf,method,runtime,cf,internalTime,avgNodeTime,modelPreperationTime,nNodes,optimizationTime,terminationCond
116,9426706,4,25,13,BnB_DynamicMWMBounding_None_False,16.604222297668457,1.0,16.597272396087646,0.012432413779840933,,1335,,optimality
117,1906281,4,25,14,PhISCS_I_,0.23740267753601074,1.0,0.10875701904296875,,,,,
118,1906281,4,25,14,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.6870174407958984,1.0,0.547802209854126,0.034237638115882874,0.1228640079498291,16,0.5322668552398682,optimality
119,1906281,4,25,14,BnB_DynamicMWMBounding_None_False,19.300650358200073,1.0,19.294029712677002,0.015073460713028907,,1280,,optimality
120,8013342,4,25,13,PhISCS_I_,0.21856093406677246,1.0,0.0569000244140625,,,,,
121,8013342,4,25,13,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.5072636604309082,1.0,0.36333155632019043,0.025952254022870744,0.12133216857910156,14,0.3583409786224365,optimality
122,8013342,4,25,13,BnB_DynamicMWMBounding_None_False,1.820012092590332,1.0,1.8143579959869385,0.014064790666565415,,129,,optimality
123,3942060,4,25,12,PhISCS_I_,0.25319361686706543,1.0,0.12781643867492676,,,,,
124,3942060,4,25,12,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.5641293525695801,1.0,0.42664027214050293,0.03281848247234638,0.12012124061584473,13,0.41852307319641113,optimality
125,3942060,4,25,12,BnB_DynamicMWMBounding_None_False,7.648756742477417,1.0,7.643225431442261,0.010398946165227565,,735,,optimality
126,3538756,4,25,13,PhISCS_I_,0.21775341033935547,1.0,0.08797883987426758,,,,,
127,3538756,4,25,12,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.4878518581390381,1.0,0.35303473472595215,0.027156518055842474,0.12106633186340332,13,0.3408544063568115,optimality
128,3538756,4,25,12,BnB_DynamicMWMBounding_None_False,6.389953851699829,1.0,6.383655309677124,0.014185900688171387,,450,,optimality
129,1456464,4,25,11,PhISCS_I_,0.5080950260162354,1.0,0.3480827808380127,,,,,
130,1456464,4,25,11,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.592456579208374,1.0,0.4539015293121338,0.028368845582008362,0.11994695663452148,16,0.4472496509552002,optimality
131,1456464,4,25,11,BnB_DynamicMWMBounding_None_False,1.1288130283355713,1.0,1.1224255561828613,0.009676082380886736,,116,,optimality
132,67832,4,25,16,PhISCS_I_,0.32139062881469727,1.0,0.1962432861328125,,,,,
133,67832,4,25,16,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.9969215393066406,1.0,0.8600268363952637,0.02324396855122334,0.1255190372467041,37,0.8236770629882812,optimality
134,67832,4,25,20,BnB_DynamicMWMBounding_None_False,60.01070427894592,1.0,60.005313873291016,0.01619139608021884,,3706,,time_limit
135,490946,4,25,17,PhISCS_I_,0.5140256881713867,1.0,0.3817768096923828,,,,,
136,490946,4,25,17,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,5.2558629512786865,1.0,5.077780246734619,0.021245942454956566,0.22455930709838867,239,4.75485897064209,optimality
137,490946,4,25,17,BnB_DynamicMWMBounding_None_False,60.02112436294556,1.0,60.014105796813965,0.017703276046257807,,3390,,time_limit
138,7139229,4,25,15,PhISCS_I_,0.4708423614501953,1.0,0.34361886978149414,,,,,
139,7139229,4,25,15,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.706472635269165,1.0,0.5336558818817139,0.023202429647031036,0.15980792045593262,23,0.5105586051940918,optimality
140,7139229,4,25,15,BnB_DynamicMWMBounding_None_False,30.549100875854492,1.0,30.54215431213379,0.015332406783199694,,1992,,optimality
141,6579887,4,25,12,PhISCS_I_,0.19965338706970215,1.0,0.06364703178405762,,,,,
142,6579887,4,25,12,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.4949381351470947,1.0,0.32096028327941895,0.024689252559955303,0.1598985195159912,13,0.3059251308441162,optimality
143,6579887,4,25,12,BnB_DynamicMWMBounding_None_False,0.7391581535339355,1.0,0.7312686443328857,0.01305836864880153,,56,,optimality
144,4333070,4,25,12,PhISCS_I_,0.40551090240478516,1.0,0.27607035636901855,,,,,
