,hash,n,m,n_flips,method,runtime,cf,internal_time
1478,7305333,14,8,29,PhISCS_I_,0.13058853149414062,1.0,0.06917428970336914
1479,3828358,14,8,28,PhISCS_I_,0.15253090858459473,1.0,0.06345391273498535
1480,8423805,14,9,33,PhISCS_I_,0.22256064414978027,1.0,0.11356043815612793
1481,7126277,14,9,34,PhISCS_I_,0.16821599006652832,1.0,0.1013031005859375
1482,9055273,14,9,35,PhISCS_I_,0.1872422695159912,1.0,0.08957219123840332
1483,2929762,14,9,33,PhISCS_I_,0.17628788948059082,1.0,0.10751938819885254
1484,9776605,14,9,25,PhISCS_I_,0.08462929725646973,1.0,0.01877450942993164
1485,7466108,14,9,30,PhISCS_I_,0.1451578140258789,1.0,0.0776979923248291
1486,266415,14,9,33,PhISCS_I_,0.12178945541381836,1.0,0.05323648452758789
1487,3852854,14,9,35,PhISCS_I_,0.19138574600219727,1.0,0.11225104331970215
1488,6407775,14,9,28,PhISCS_I_,0.08825063705444336,1.0,0.020220518112182617
1489,5793640,14,9,34,PhISCS_I_,0.16789984703063965,1.0,0.09531879425048828
1490,1382659,14,10,44,PhISCS_I_,0.2611091136932373,1.0,0.17441082000732422
1491,757512,14,10,31,PhISCS_I_,0.13656282424926758,1.0,0.05326509475708008
1492,3444026,14,10,48,PhISCS_I_,0.363100528717041,1.0,0.280017614364624
1493,9814881,14,10,45,PhISCS_I_,0.27004146575927734,1.0,0.18265891075134277
1494,596950,14,10,41,PhISCS_I_,0.24188756942749023,1.0,0.12030601501464844
1495,9133559,14,10,41,PhISCS_I_,0.21196651458740234,1.0,0.12374472618103027
1496,5520575,14,10,36,PhISCS_I_,0.19779038429260254,1.0,0.11493206024169922
1497,984148,14,10,38,PhISCS_I_,0.21487212181091309,1.0,0.13116097450256348
1498,5503082,14,10,43,PhISCS_I_,0.23565459251403809,1.0,0.14867234230041504
1499,9672735,14,10,38,PhISCS_I_,0.21198725700378418,1.0,0.12553024291992188
1500,9429813,14,11,43,PhISCS_I_,0.2810485363006592,1.0,0.17826104164123535
1501,1068600,14,11,46,PhISCS_I_,0.3030822277069092,1.0,0.18462133407592773
1502,1543987,14,11,42,PhISCS_I_,0.2557556629180908,1.0,0.1466057300567627
1503,4002798,14,11,43,PhISCS_I_,0.25365662574768066,1.0,0.14459633827209473
1504,2260430,14,11,47,PhISCS_I_,0.28725290298461914,1.0,0.1648237705230713
1505,1091092,14,11,43,PhISCS_I_,0.284801721572876,1.0,0.1894381046295166
1506,2216218,14,11,36,PhISCS_I_,0.13689494132995605,1.0,0.041669607162475586
1507,8070409,14,11,51,PhISCS_I_,0.34245753288269043,1.0,0.24715185165405273
1508,1972012,14,11,49,PhISCS_I_,0.32118892669677734,1.0,0.22602033615112305
1509,3449539,14,11,45,PhISCS_I_,0.2605321407318115,1.0,0.16611266136169434
1510,7178735,14,12,43,PhISCS_I_,0.27121758460998535,1.0,0.15902447700500488
1511,2576113,14,12,48,PhISCS_I_,0.3501248359680176,1.0,0.2380204200744629
1512,3288653,14,12,53,PhISCS_I_,0.4596140384674072,1.0,0.3215947151184082
1513,5528594,14,12,53,PhISCS_I_,0.39606618881225586,1.0,0.27144885063171387
1514,910404,14,12,38,PhISCS_I_,0.2576305866241455,1.0,0.1450197696685791
1515,4977908,14,12,49,PhISCS_I_,0.4117577075958252,1.0,0.2912285327911377
1516,515522,14,12,39,PhISCS_I_,0.27261829376220703,1.0,0.09254765510559082
1517,5223070,14,12,54,PhISCS_I_,0.5247788429260254,1.0,0.32560253143310547
1518,5729602,14,12,58,PhISCS_I_,0.518435001373291,1.0,0.3574810028076172
1519,2039597,14,12,45,PhISCS_I_,0.38161158561706543,1.0,0.24556183815002441
1520,9148463,14,13,58,PhISCS_I_,0.48264288902282715,1.0,0.34972238540649414
1521,9647012,14,13,50,PhISCS_I_,0.44530487060546875,1.0,0.3122243881225586
1522,5430167,14,13,61,PhISCS_I_,0.6374447345733643,1.0,0.49715614318847656
1523,862934,14,13,51,PhISCS_I_,0.4406776428222656,1.0,0.30161213874816895
1524,2416487,14,13,50,PhISCS_I_,0.39969801902770996,1.0,0.2654836177825928
1525,8900427,14,13,50,PhISCS_I_,0.2601463794708252,1.0,0.08349251747131348
1526,6491970,14,13,55,PhISCS_I_,0.6394248008728027,1.0,0.49158596992492676
1527,9156547,14,13,53,PhISCS_I_,0.4878864288330078,1.0,0.3461451530456543
1528,4799152,14,13,55,PhISCS_I_,0.4495706558227539,1.0,0.3047802448272705
1529,9643297,14,13,51,PhISCS_I_,0.6530873775482178,1.0,0.471172571182251
1530,1513241,14,14,68,PhISCS_I_,0.8697268962860107,1.0,0.6559104919433594
1531,7257026,14,14,59,PhISCS_I_,0.6791558265686035,1.0,0.5156235694885254
1532,9030506,14,14,60,PhISCS_I_,0.5373764038085938,1.0,0.3769800662994385
1533,3180713,14,14,66,PhISCS_I_,0.9511013031005859,1.0,0.784538984298706
1534,9600922,14,14,55,PhISCS_I_,0.49897027015686035,1.0,0.3354620933532715
1535,2249533,14,14,62,PhISCS_I_,0.760814905166626,1.0,0.5597600936889648
1536,6608988,14,14,58,PhISCS_I_,0.6319561004638672,1.0,0.4543461799621582
1537,7914561,14,14,69,PhISCS_I_,1.0097098350524902,1.0,0.8301513195037842
1538,9601885,14,14,47,PhISCS_I_,0.644946813583374,1.0,0.3866543769836426
1539,6927027,14,14,62,PhISCS_I_,1.1546962261199951,1.0,0.8949153423309326
1540,1928573,14,15,69,PhISCS_I_,1.4401178359985352,1.0,1.1140906810760498
1541,2577882,14,15,54,PhISCS_I_,0.46564745903015137,1.0,0.2897684574127197
1542,3076192,14,15,64,PhISCS_I_,0.672339916229248,1.0,0.4889414310455322
1543,9564889,14,15,59,PhISCS_I_,0.7614133358001709,1.0,0.582190752029419
1544,152083,14,15,69,PhISCS_I_,0.8444185256958008,1.0,0.6460616588592529
1545,7492836,14,15,67,PhISCS_I_,1.0077993869781494,1.0,0.7785336971282959
1546,3608270,14,15,64,PhISCS_I_,0.8100540637969971,1.0,0.6132392883300781
1547,4138227,14,15,67,PhISCS_I_,1.0058457851409912,1.0,0.802649736404419
1548,7134035,14,15,55,PhISCS_I_,0.6633155345916748,1.0,0.37018489837646484
1549,6670255,14,15,65,PhISCS_I_,0.827927827835083,1.0,0.614691972732544
1550,7070761,14,16,72,PhISCS_I_,0.8303742408752441,1.0,0.6331114768981934
